Size;Measure;Time_naive;Time_better;Time_blas
2;0;0.010000;0.005000;0.042000
2;1;0.005000;0.004000;0.004000
2;2;0.004000;0.004000;0.003000
2;3;0.005000;0.004000;0.003000
2;4;0.005000;0.005000;0.004000
2;5;0.005000;0.004000;0.003000
2;6;0.005000;0.005000;0.003000
2;7;0.004000;0.004000;0.001000
2;8;0.001000;0.001000;0.001000
2;9;0.001000;0.001000;0.000000
12;0;0.030000;0.041000;0.002000
12;1;0.034000;0.040000;0.003000
12;2;0.032000;0.039000;0.003000
12;3;0.032000;0.038000;0.002000
12;4;0.032000;0.038000;0.003000
12;5;0.032000;0.039000;0.003000
12;6;0.031000;0.038000;0.002000
12;7;0.033000;0.040000;0.003000
12;8;0.033000;0.039000;0.003000
12;9;0.032000;0.039000;0.003000
22;0;0.168000;0.176000;0.018000
22;1;0.168000;0.260000;0.015000
22;2;0.245000;0.236000;0.016000
22;3;0.222000;0.260000;0.017000
22;4;0.266000;0.270000;0.019000
22;5;0.270000;0.268000;0.017000
22;6;0.264000;0.162000;0.013000
22;7;0.235000;0.223000;0.017000
22;8;0.262000;0.266000;0.016000
22;9;0.257000;0.156000;0.011000
32;0;0.517000;0.648000;0.029000
32;1;0.600000;0.779000;0.044000
32;2;0.576000;0.466000;0.028000
32;3;0.458000;0.498000;0.028000
32;4;0.470000;0.447000;0.027000
32;5;0.441000;0.446000;0.027000
32;6;0.454000;0.444000;0.026000
32;7;0.424000;0.428000;0.025000
32;8;0.409000;0.418000;0.024000
32;9;0.395000;0.399000;0.024000
42;0;0.935000;0.855000;0.063000
42;1;0.827000;0.826000;0.059000
42;2;1.455000;1.057000;0.060000
42;3;0.828000;0.869000;0.084000
42;4;1.012000;0.842000;0.062000
42;5;0.828000;0.856000;0.062000
42;6;0.836000;0.827000;0.060000
42;7;0.828000;0.827000;0.060000
42;8;0.828000;0.829000;0.059000
42;9;0.828000;0.826000;0.067000
52;0;1.606000;1.566000;0.104000
52;1;1.568000;1.607000;0.105000
52;2;1.569000;1.568000;0.105000
52;3;1.568000;1.564000;0.108000
52;4;1.568000;1.564000;0.103000
52;5;1.571000;1.895000;0.185000
52;6;2.000000;1.611000;0.123000
52;7;1.643000;1.601000;0.105000
52;8;1.577000;1.565000;0.104000
52;9;1.568000;1.574000;0.104000
62;0;2.700000;2.674000;0.168000
62;1;2.736000;2.640000;0.168000
