Size;Measure;Time_naive;Time_better;Time_blas
2;0;0.012000;0.007000;0.043000
2;1;0.005000;0.004000;0.004000
2;2;0.004000;0.004000;0.003000
2;3;0.004000;0.003000;0.003000
2;4;0.004000;0.004000;0.003000
2;5;0.004000;0.004000;0.003000
2;6;0.003000;0.004000;0.003000
2;7;0.004000;0.004000;0.003000
2;8;0.004000;0.003000;0.002000
2;9;0.004000;0.004000;0.003000
12;0;0.135000;0.139000;0.016000
12;1;0.139000;0.104000;0.010000
12;2;0.093000;0.089000;0.009000
12;3;0.092000;0.095000;0.014000
12;4;0.093000;0.089000;0.002000
12;5;0.022000;0.022000;0.002000
12;6;0.022000;0.022000;0.003000
12;7;0.023000;0.021000;0.002000
12;8;0.022000;0.021000;0.002000
12;9;0.023000;0.027000;0.003000
22;0;0.177000;0.128000;0.017000
22;1;0.132000;0.135000;0.017000
22;2;0.174000;0.161000;0.012000
22;3;0.142000;0.137000;0.011000
22;4;0.130000;0.127000;0.012000
22;5;0.130000;0.125000;0.011000
22;6;0.129000;0.147000;0.016000
22;7;0.207000;0.120000;0.009000
22;8;0.143000;0.127000;0.010000
22;9;0.124000;0.141000;0.017000
32;0;0.415000;0.385000;0.029000
32;1;0.387000;0.374000;0.028000
32;2;0.420000;0.436000;0.029000
32;3;0.398000;0.404000;0.029000
32;4;0.374000;0.374000;0.045000
32;5;0.337000;0.334000;0.024000
32;6;0.336000;0.334000;0.025000
32;7;0.346000;0.354000;0.023000
32;8;0.325000;0.337000;0.023000
32;9;0.331000;0.314000;0.022000
42;0;0.712000;0.695000;0.059000
42;1;0.707000;0.700000;0.059000
42;2;0.708000;0.695000;0.059000
42;3;0.707000;0.695000;0.060000
42;4;0.707000;0.730000;0.060000
42;5;1.109000;1.058000;0.060000
42;6;0.709000;0.703000;0.059000
42;7;0.708000;0.710000;0.065000
42;8;0.917000;0.837000;0.062000
42;9;0.710000;0.688000;0.059000
52;0;1.343000;1.308000;0.104000
52;1;1.337000;1.300000;0.103000
52;2;1.340000;1.301000;0.136000
52;3;1.337000;1.303000;0.103000
52;4;1.336000;1.300000;0.104000
52;5;1.339000;1.300000;0.104000
52;6;1.339000;1.300000;0.104000
52;7;1.337000;1.303000;0.104000
52;8;1.337000;1.300000;0.103000
52;9;1.548000;1.884000;0.095000
62;0;2.431000;2.483000;0.180000
62;1;2.261000;2.198000;0.168000
62;2;2.307000;2.228000;0.168000
62;3;2.263000;2.194000;0.167000
62;4;2.264000;2.194000;0.167000
62;5;2.263000;2.194000;0.169000
62;6;2.260000;2.953000;0.159000
62;7;2.667000;2.207000;0.158000
62;8;2.266000;2.186000;0.173000
62;9;2.294000;2.197000;0.168000
72;0;3.560000;3.441000;0.255000
72;1;3.536000;3.438000;0.255000
72;2;4.242000;3.876000;0.265000
72;3;3.543000;3.438000;0.256000
72;4;3.567000;3.437000;0.255000
72;5;3.537000;3.437000;0.255000
72;6;3.537000;4.183000;0.249000
72;7;3.935000;3.449000;0.259000
72;8;3.538000;3.437000;0.256000
72;9;3.537000;3.438000;0.256000
82;0;5.236000;5.625000;0.604000
82;1;5.650000;5.606000;0.422000
82;2;5.509000;5.058000;0.407000
82;3;5.255000;5.060000;0.415000
82;4;5.665000;5.061000;0.407000
82;5;5.249000;5.057000;0.406000
82;6;5.219000;5.055000;0.409000
82;7;5.680000;5.060000;0.407000
82;8;5.251000;5.054000;0.406000
82;9;5.219000;5.057000;0.409000
92;0;7.853000;7.156000;0.511000
92;1;7.362000;7.122000;0.509000
92;2;7.836000;7.126000;0.511000
92;3;7.393000;7.123000;0.510000
92;4;7.387000;7.580000;0.513000
92;5;7.397000;7.124000;0.510000
92;6;7.362000;7.558000;0.519000
92;7;7.366000;7.124000;0.509000
92;8;7.361000;7.273000;0.908000
92;9;7.376000;7.151000;0.510000
102;0;10.047000;10.270000;0.756000
102;1;10.070000;9.690000;0.750000
102;2;10.514000;9.700000;0.752000
102;3;10.023000;9.711000;0.821000
102;4;10.410000;9.693000;0.754000
102;5;10.046000;10.155000;0.754000
102;6;10.074000;9.709000;0.752000
102;7;10.919000;9.752000;0.765000
102;8;10.049000;10.498000;0.778000
102;9;10.063000;9.697000;0.763000
112;0;14.111000;12.891000;1.006000
112;1;13.950000;12.969000;1.009000
112;2;13.270000;13.646000;1.008000
112;3;13.310000;13.587000;1.080000
112;4;13.310000;12.848000;0.988000
112;5;13.785000;12.886000;0.990000
112;6;14.170000;12.882000;0.988000
112;7;13.450000;13.632000;0.990000
112;8;13.304000;13.740000;0.992000
112;9;13.316000;13.688000;1.080000
122;0;17.256000;17.450000;1.304000
122;1;17.187000;17.406000;1.297000
122;2;17.187000;17.396000;1.299000
122;3;17.185000;17.407000;1.294000
122;4;17.195000;17.447000;1.294000
122;5;17.164000;16.716000;1.293000
122;6;17.868000;16.714000;1.286000
122;7;17.902000;16.691000;1.277000
122;8;17.751000;16.660000;1.286000
122;9;18.102000;16.652000;1.272000
132;0;22.768000;21.917000;1.673000
132;1;21.826000;21.873000;1.627000
132;2;22.590000;21.138000;1.625000
132;3;22.727000;21.818000;1.635000
132;4;21.791000;21.866000;1.623000
132;5;22.625000;21.049000;1.614000
132;6;22.671000;21.833000;1.617000
132;7;21.798000;21.567000;1.613000
132;8;22.714000;21.071000;1.603000
132;9;22.711000;21.943000;1.619000
142;0;27.932000;26.370000;1.999000
142;1;28.068000;27.078000;2.032000
142;2;28.056000;27.070000;2.020000
142;3;28.075000;26.218000;2.023000
142;4;27.956000;26.997000;2.018000
142;5;27.961000;26.949000;2.014000
142;6;27.963000;26.174000;2.760000
142;7;27.297000;26.982000;2.014000
142;8;27.970000;26.949000;2.021000
142;9;27.953000;26.177000;2.690000
152;0;34.134000;32.573000;2.914000
152;1;34.117000;32.978000;2.650000
152;2;33.762000;33.037000;2.515000
152;3;34.111000;32.921000;2.487000
152;4;34.067000;32.909000;2.470000
152;5;34.074000;32.913000;2.472000
152;6;34.074000;32.917000;2.473000
152;7;34.061000;32.913000;2.468000
152;8;34.072000;32.959000;2.467000
152;9;33.823000;33.024000;2.495000
162;0;41.260000;39.835000;3.855000
162;1;40.614000;39.756000;3.005000
162;2;41.169000;39.660000;2.978000
162;3;42.574000;39.771000;3.023000
162;4;41.169000;39.701000;2.974000
162;5;40.733000;39.746000;3.004000
162;6;41.178000;39.677000;2.986000
162;7;41.621000;40.501000;2.973000
162;8;41.289000;39.765000;3.585000
162;9;41.541000;39.781000;2.973000
172;0;49.340000;47.690000;3.547000
172;1;49.282000;47.755000;3.554000
172;2;49.293000;47.656000;3.544000
172;3;49.302000;47.627000;3.567000
172;4;49.301000;47.924000;3.580000
172;5;49.287000;47.687000;3.550000
172;6;49.296000;47.632000;3.553000
172;7;49.297000;47.932000;3.547000
172;8;49.309000;47.662000;3.547000
172;9;49.294000;47.628000;3.553000
182;0;58.341000;56.405000;5.106000
182;1;58.443000;55.987000;4.188000
182;2;58.415000;56.084000;5.099000
182;3;58.439000;55.986000;4.235000
182;4;57.931000;56.391000;5.087000
182;5;58.450000;55.977000;4.201000
182;6;58.403000;56.112000;5.085000
182;7;58.441000;55.962000;4.195000
182;8;58.450000;56.122000;5.096000
182;9;58.473000;55.959000;4.197000
192;0;69.187000;65.592000;4.906000
192;1;69.440000;65.966000;4.920000
192;2;69.736000;66.116000;4.928000
192;3;70.347000;65.739000;4.923000
192;4;69.121000;65.570000;4.922000
192;5;69.085000;65.866000;4.920000
192;6;69.428000;65.952000;4.923000
192;7;69.724000;66.006000;4.925000
192;8;69.749000;66.009000;4.926000
192;9;69.650000;65.937000;4.926000
202;0;80.720000;77.080000;5.717000
202;1;80.260000;76.419000;5.708000
202;2;80.252000;76.417000;5.699000
202;3;80.271000;76.739000;5.695000
202;4;80.605000;76.435000;5.693000
202;5;80.826000;76.143000;5.697000
202;6;80.247000;76.402000;5.698000
202;7;80.198000;76.451000;5.702000
202;8;80.196000;76.584000;5.700000
202;9;79.540000;76.441000;5.695000
212;0;92.790000;88.106000;6.596000
212;1;92.698000;88.119000;6.597000
212;2;93.449000;88.596000;6.609000
212;3;93.218000;88.315000;6.587000
212;4;93.012000;88.377000;6.601000
212;5;93.278000;88.341000;6.610000
212;6;92.905000;88.300000;6.613000
212;7;93.031000;88.254000;6.587000
212;8;92.948000;88.371000;6.608000
212;9;92.899000;88.307000;6.613000
222;0;107.165000;101.404000;7.549000
222;1;107.157000;101.679000;7.635000
222;2;107.131000;101.260000;7.562000
222;3;107.187000;101.289000;7.568000
222;4;107.125000;101.496000;7.568000
222;5;107.178000;101.286000;7.550000
222;6;107.098000;101.075000;7.560000
222;7;107.495000;101.455000;7.561000
222;8;106.869000;101.265000;7.572000
222;9;106.922000;101.055000;7.555000
232;0;122.019000;115.268000;8.918000
232;1;121.460000;115.178000;8.631000
232;2;121.406000;115.226000;8.629000
232;3;121.529000;115.207000;8.632000
232;4;121.398000;115.260000;8.627000
232;5;121.567000;115.182000;8.634000
232;6;121.354000;115.235000;8.633000
232;7;122.181000;115.191000;8.639000
232;8;121.314000;115.139000;8.631000
232;9;121.543000;115.744000;8.665000
242;0;138.244000;130.914000;10.086000
242;1;137.738000;130.834000;9.790000
242;2;138.218000;130.977000;9.807000
242;3;138.214000;130.795000;9.797000
242;4;139.092000;130.960000;9.790000
242;5;138.220000;131.323000;9.793000
242;6;139.199000;130.865000;9.787000
242;7;138.256000;130.881000;9.805000
242;8;140.903000;131.643000;9.854000
242;9;139.549000;131.398000;9.826000
252;0;155.935000;147.701000;11.043000
252;1;155.430000;148.056000;11.047000
252;2;155.893000;148.099000;11.039000
252;3;155.231000;148.011000;11.037000
252;4;155.944000;148.226000;11.051000
252;5;155.160000;148.442000;11.091000
252;6;156.418000;148.580000;11.045000
252;7;155.725000;148.184000;11.065000
252;8;156.007000;148.019000;11.071000
252;9;155.633000;148.122000;11.041000
262;0;174.273000;165.942000;13.113000
262;1;174.487000;166.254000;12.681000
262;2;175.024000;165.710000;12.991000
262;3;175.388000;165.824000;13.052000
262;4;175.271000;165.691000;13.085000
262;5;175.498000;165.944000;12.647000
262;6;175.152000;166.389000;13.068000
262;7;174.529000;165.927000;12.672000
262;8;175.697000;165.927000;13.067000
262;9;174.724000;165.562000;13.085000
272;0;197.548000;186.006000;14.221000
272;1;195.192000;186.111000;14.278000
272;2;195.130000;185.830000;14.237000
272;3;195.964000;185.701000;14.232000
272;4;195.240000;186.092000;14.222000
272;5;195.148000;185.929000;14.242000
272;6;195.721000;185.889000;14.296000
272;7;195.152000;186.001000;14.262000
272;8;195.398000;185.970000;14.230000
272;9;195.883000;185.949000;14.231000
282;0;218.094000;206.444000;15.863000
282;1;218.384000;206.093000;15.447000
282;2;233.854000;205.923000;16.313000
282;3;218.534000;205.778000;16.322000
282;4;217.613000;207.722000;16.454000
282;5;217.729000;205.706000;16.246000
282;6;217.880000;205.647000;16.831000
282;7;218.812000;205.711000;16.268000
282;8;217.854000;206.298000;16.287000
282;9;217.555000;205.935000;16.240000
292;0;244.570000;229.000000;17.559000
292;1;243.442000;229.589000;17.512000
292;2;244.401000;229.797000;17.518000
292;3;243.311000;230.252000;17.566000
292;4;243.412000;229.517000;17.564000
292;5;244.115000;229.968000;17.534000
292;6;244.183000;229.585000;17.978000
292;7;241.871000;227.935000;18.004000
292;8;241.899000;228.954000;18.003000
292;9;241.896000;229.020000;18.050000
302;0;267.139000;252.560000;19.799000
302;1;268.370000;252.364000;19.859000
302;2;268.325000;252.398000;19.818000
302;3;268.507000;252.483000;19.775000
302;4;268.744000;252.287000;19.821000
302;5;270.810000;252.281000;19.810000
302;6;267.561000;252.809000;19.790000
302;7;267.681000;252.792000;19.839000
302;8;267.571000;252.718000;19.857000
302;9;267.455000;252.406000;19.843000
312;0;295.547000;278.398000;21.781000
312;1;295.776000;278.264000;21.776000
312;2;296.150000;278.158000;21.768000
312;3;296.052000;278.113000;21.789000
312;4;296.055000;278.075000;22.047000
312;5;295.729000;278.201000;21.779000
312;6;295.705000;278.210000;21.786000
