Size;Measure;Time_naive;Time_better;Time_blas
2;0;0.014000;0.006000;0.025000
2;1;0.005000;0.005000;0.004000
2;2;0.005000;0.004000;0.003000
2;3;0.004000;0.004000;0.003000
2;4;0.004000;0.004000;0.004000
2;5;0.004000;0.004000;0.003000
2;6;0.004000;0.004000;0.003000
2;7;0.004000;0.004000;0.003000
2;8;0.004000;0.004000;0.003000
2;9;0.004000;0.004000;0.003000
12;0;0.144000;0.140000;0.015000
12;1;0.126000;0.123000;0.015000
12;2;0.137000;0.132000;0.017000
12;3;0.129000;0.122000;0.013000
12;4;0.110000;0.109000;0.013000
12;5;0.110000;0.119000;0.013000
12;6;0.113000;0.116000;0.014000
12;7;0.118000;0.118000;0.013000
12;8;0.123000;0.117000;0.013000
12;9;0.126000;0.099000;0.015000
22;0;0.413000;0.160000;0.015000
22;1;0.160000;0.181000;0.018000
22;2;0.195000;0.202000;0.019000
22;3;0.210000;0.211000;0.018000
22;4;0.175000;0.161000;0.015000
22;5;0.141000;0.129000;0.013000
22;6;0.169000;0.169000;0.017000
22;7;0.140000;0.122000;0.014000
22;8;0.171000;0.163000;0.017000
22;9;0.195000;0.193000;0.015000
32;0;0.504000;0.471000;0.029000
32;1;0.453000;0.551000;0.050000
32;2;0.512000;0.424000;0.029000
32;3;0.380000;0.364000;0.028000
32;4;0.378000;0.375000;0.028000
32;5;0.379000;0.364000;0.028000
32;6;0.381000;0.365000;0.028000
32;7;0.380000;0.364000;0.028000
32;8;0.383000;0.376000;0.028000
32;9;0.378000;0.379000;0.028000
42;0;0.858000;0.826000;0.084000
42;1;0.852000;0.838000;0.100000
42;2;1.368000;1.330000;0.093000
42;3;0.859000;0.828000;0.074000
42;4;0.941000;1.013000;0.102000
42;5;0.734000;0.713000;0.063000
42;6;0.751000;0.704000;0.064000
42;7;0.703000;0.659000;0.059000
42;8;0.818000;0.817000;0.085000
42;9;0.864000;0.859000;0.085000
52;0;1.409000;1.274000;0.093000
52;1;1.300000;1.262000;0.093000
52;2;1.302000;1.253000;0.093000
52;3;1.298000;1.254000;0.093000
52;4;1.315000;1.256000;0.093000
52;5;1.293000;1.255000;0.094000
52;6;1.293000;1.253000;0.093000
52;7;1.296000;1.327000;0.181000
52;8;1.841000;1.392000;0.114000
52;9;1.295000;1.280000;0.104000
62;0;2.265000;2.119000;0.168000
62;1;2.183000;2.148000;0.168000
62;2;2.183000;2.117000;0.168000
62;3;2.194000;2.115000;0.168000
62;4;2.188000;2.114000;0.167000
62;5;2.185000;2.899000;0.158000
62;6;2.276000;2.128000;0.197000
62;7;2.183000;2.112000;0.159000
62;8;2.187000;2.142000;0.159000
62;9;2.195000;2.109000;0.159000
72;0;3.456000;3.305000;0.247000
72;1;3.442000;3.310000;0.328000
72;2;4.119000;3.334000;0.246000
72;3;3.417000;3.332000;0.244000
72;4;3.420000;3.316000;0.245000
72;5;3.418000;3.323000;0.245000
72;6;3.422000;4.128000;0.300000
72;7;3.434000;3.311000;0.257000
72;8;3.463000;3.310000;0.255000
72;9;3.417000;3.308000;0.257000
82;0;5.086000;5.631000;0.405000
82;1;5.241000;5.796000;0.435000
82;2;5.063000;4.907000;0.413000
82;3;5.043000;5.618000;0.405000
82;4;5.520000;4.879000;0.421000
82;5;5.043000;4.872000;0.413000
82;6;5.053000;4.869000;0.708000
82;7;5.877000;4.887000;0.417000
82;8;5.047000;4.870000;0.414000
82;9;5.053000;4.869000;0.412000
92;0;7.791000;6.902000;0.524000
92;1;7.115000;6.878000;0.518000
92;2;7.827000;7.372000;0.528000
92;3;7.141000;6.880000;0.518000
92;4;7.111000;8.103000;0.531000
92;5;7.124000;6.879000;0.519000
92;6;7.110000;7.613000;0.511000
92;7;7.626000;6.914000;0.523000
92;8;7.111000;6.876000;0.518000
92;9;8.334000;6.886000;0.553000
102;0;9.705000;9.503000;1.410000
102;1;10.207000;9.401000;0.766000
102;2;9.756000;10.603000;0.772000
102;3;9.749000;9.388000;0.763000
102;4;10.923000;9.405000;0.801000
102;5;9.688000;10.096000;0.757000
102;6;10.232000;9.408000;0.763000
102;7;9.703000;10.568000;0.776000
102;8;9.711000;9.365000;0.762000
102;9;10.905000;9.407000;0.767000
112;0;12.853000;13.533000;1.011000
112;1;12.844000;13.125000;1.005000
112;2;13.057000;12.399000;1.001000
112;3;13.698000;12.434000;1.002000
112;4;13.524000;12.472000;1.038000
112;5;12.918000;13.211000;1.010000
112;6;12.846000;12.555000;1.686000
112;7;12.988000;12.429000;1.002000
112;8;13.699000;12.434000;1.001000
112;9;13.453000;12.565000;1.007000
122;0;16.611000;16.832000;1.288000
122;1;16.563000;16.822000;1.323000
122;2;16.602000;16.847000;1.296000
122;3;17.095000;16.307000;1.291000
122;4;17.291000;16.116000;1.291000
122;5;16.732000;16.585000;1.276000
122;6;17.486000;16.102000;1.272000
122;7;17.548000;16.053000;1.294000
122;8;17.572000;16.045000;1.277000
122;9;17.574000;16.059000;1.272000
132;0;22.083000;20.360000;2.560000
132;1;21.276000;21.135000;1.626000
132;2;21.849000;20.384000;1.626000
132;3;22.042000;20.301000;1.612000
132;4;21.697000;21.119000;1.630000
132;5;22.496000;23.939000;1.656000
132;6;22.040000;20.473000;2.374000
132;7;21.314000;21.108000;1.627000
132;8;21.118000;21.150000;1.633000
132;9;21.971000;20.306000;1.615000
142;0;27.239000;26.414000;2.030000
142;1;27.190000;25.978000;2.129000
142;2;26.281000;25.756000;2.008000
142;3;26.831000;25.720000;2.009000
142;4;26.920000;25.228000;2.038000
142;5;26.801000;25.777000;2.014000
142;6;26.846000;25.710000;2.008000
142;7;26.458000;25.630000;2.006000
142;8;26.774000;25.748000;2.015000
142;9;26.849000;25.733000;2.026000
152;0;32.917000;31.508000;2.469000
152;1;32.923000;31.468000;2.464000
152;2;33.102000;31.468000;2.471000
152;3;32.946000;31.482000;2.473000
152;4;32.824000;31.474000;2.469000
152;5;32.724000;31.109000;2.991000
152;6;32.751000;30.977000;3.175000
152;7;32.888000;31.145000;3.178000
152;8;32.767000;30.983000;3.154000
152;9;32.674000;31.024000;2.986000
162;0;39.696000;38.496000;2.986000
162;1;39.934000;40.058000;2.991000
162;2;39.909000;38.939000;3.011000
162;3;40.317000;38.691000;2.963000
162;4;40.604000;38.465000;2.979000
162;5;39.630000;37.980000;2.957000
162;6;39.633000;38.428000;2.979000
162;7;39.630000;37.945000;2.966000
162;8;39.629000;38.450000;2.974000
162;9;39.595000;37.938000;2.969000
172;0;47.684000;45.905000;3.543000
172;1;47.448000;45.864000;3.544000
172;2;47.458000;45.838000;3.540000
172;3;47.584000;45.843000;3.541000
172;4;48.024000;45.357000;3.541000
172;5;47.629000;45.862000;3.534000
172;6;47.462000;45.830000;3.538000
172;7;47.450000;45.849000;3.541000
172;8;47.461000;45.841000;3.546000
172;9;47.463000;45.838000;3.538000
182;0;56.935000;53.642000;4.178000
182;1;56.852000;54.115000;4.185000
182;2;56.135000;54.084000;4.195000
182;3;56.174000;54.148000;4.192000
182;4;56.164000;54.287000;4.186000
182;5;56.198000;54.602000;4.186000
182;6;56.146000;54.136000;4.181000
182;7;56.134000;54.108000;4.189000
182;8;56.110000;54.097000;4.415000
182;9;56.138000;54.165000;4.201000
192;0;66.042000;63.461000;4.913000
192;1;66.619000;63.418000;4.917000
192;2;66.696000;63.572000;4.918000
192;3;66.608000;63.446000;4.913000
192;4;66.669000;63.386000;4.906000
192;5;65.954000;63.420000;4.913000
192;6;66.654000;63.598000;4.915000
192;7;66.646000;63.444000;4.908000
192;8;66.648000;63.416000;4.917000
192;9;67.326000;63.397000;5.276000
202;0;79.000000;73.680000;5.689000
202;1;79.119000;74.305000;5.689000
202;2;78.179000;73.598000;5.695000
202;3;78.991000;73.079000;5.677000
202;4;78.188000;73.564000;5.687000
