Size;Measure;Time_1st_level;Time_2nd_level
1;0;0.013000;0.032000
1;1;0.005000;0.006000
1;2;0.004000;0.005000
1;3;0.004000;0.005000
1;4;0.004000;0.004000
1;5;0.004000;0.005000
1;6;0.004000;0.004000
1;7;0.005000;0.005000
1;8;0.004000;0.005000
1;9;0.004000;0.005000
51;0;0.006000;0.033000
51;1;0.006000;0.030000
51;2;0.007000;0.031000
51;3;0.005000;0.031000
51;4;0.006000;0.031000
51;5;0.005000;0.031000
51;6;0.007000;0.032000
51;7;0.006000;0.030000
51;8;0.007000;0.031000
51;9;0.006000;0.031000
101;0;0.008000;0.116000
101;1;0.007000;0.103000
101;2;0.007000;0.114000
101;3;0.007000;0.108000
101;4;0.008000;0.112000
101;5;0.009000;0.116000
101;6;0.006000;0.117000
101;7;0.007000;0.118000
101;8;0.007000;0.110000
101;9;0.007000;0.088000
151;0;0.008000;0.252000
151;1;0.010000;0.244000
151;2;0.011000;0.246000
151;3;0.010000;0.245000
151;4;0.010000;0.226000
151;5;0.007000;0.205000
151;6;0.006000;0.223000
151;7;0.007000;0.231000
151;8;0.007000;0.239000
151;9;0.006000;0.238000
201;0;0.007000;0.399000
201;1;0.006000;0.397000
201;2;0.007000;0.398000
201;3;0.007000;0.423000
201;4;0.010000;0.423000
201;5;0.008000;0.399000
201;6;0.012000;0.420000
201;7;0.008000;0.372000
201;8;0.006000;0.370000
201;9;0.006000;0.400000
251;0;0.006000;0.610000
251;1;0.006000;0.609000
251;2;0.009000;0.590000
251;3;0.010000;0.619000
251;4;0.007000;0.599000
251;5;0.007000;0.597000
251;6;0.007000;0.598000
251;7;0.007000;0.615000
251;8;0.007000;0.596000
251;9;0.008000;0.648000
301;0;0.010000;0.859000
301;1;0.007000;0.876000
301;2;0.007000;0.872000
301;3;0.011000;0.931000
301;4;0.011000;0.883000
301;5;0.013000;0.974000
301;6;0.011000;0.931000
301;7;0.009000;0.916000
301;8;0.010000;0.867000
301;9;0.007000;0.864000
351;0;0.007000;1.219000
351;1;0.011000;1.223000
351;2;0.009000;1.198000
351;3;0.008000;1.171000
351;4;0.010000;1.237000
351;5;0.009000;1.195000
351;6;0.008000;1.192000
351;7;0.008000;1.220000
351;8;0.010000;1.196000
